mk_individual_id,PersonID,mk_individual_name,mk_individual_first_name,LastName,FirstName,IsCurrent,altnames
777,4301,זיו,יצחק,זיו,יצחק,False,"[""יצחק זיו""]"
799,4302,גלנטי,יצחק,גלנטי,יצחק,False,"[""יצחק גלנטי""]"
798,4303,גלזר,אלחנן,גלזר,אלחנן,False,"[""אלחנן גלזר""]"
787,4304,מרום שלו,שרה,מרום שלו,שרה,False,"[""שרה מרום שלו""]"
772,4355,חסון,יואל,חסון,יואל,False,"[""יואל חסון""]"
770,4375,דותן,עמירה,דותן,עמירה,False,"[""עמירה דותן""]"
781,4376,חסון,ישראל,חסון,ישראל,False,"[""ישראל חסון""]"
771,4395,דיכטר,אבי,דיכטר,אבי,True,"[""אברהם דיכטר"", ""אבי דיכטר"", ""אבי (משה) דיכטר""]"
775,4396,רייכמן,אוריאל,רייכמן,אוריאל,False,"[""אוריאל רייכמן""]"
768,4397,אלקין,זאב,אלקין,זאב,True,"[""זאב אלקין""]"
767,4398,בן-ששון,מנחם,בן-ששון,מנחם,False,"[""מנחם בן-ששון""]"
769,4399,ברזניץ,שלמה,ברזניץ,שלמה,False,"[""שלמה ברזניץ""]"
774,4400,תירוש,רונית,תירוש,רונית,False,"[""רונית תירוש""]"
776,4401,שנלר,עתניאל,שנלר,עתניאל,False,"[""עתניאל שנלר""]"
773,4402,יצחקי,אביגדור,יצחקי,אביגדור,False,"[""אביגדור יצחקי""]"
788,4403,מרציאנו,יורם,מרציאנו,יורם,False,"[""יורם מרציאנו""]"
779,4404,חילו,נאדיה,חילו,נאדיה,False,"[""נאדיה חילו""]"
782,4405,יחימוביץ',שלי,יחימוביץ',שלי,False,"[""רחל שלי יחימוביץ'"", ""שלי יחימוביץ"", ""שלי יחימוביץ׳"", ""שלי יחימוביץ'"", ""שלי ייחימוביץ׳"", ""שלי ייחימוביץ""]"
792,4406,אילון,עמיחי,אילון,עמיחי,False,"[""עמיחי אילון""]"
797,4407,ברוורמן,אבישי,ברוורמן,אבישי,False,"[""אבישי ברוורמן""]"
802,4408,שמטוב,ליה,שמטוב,ליה,False,"[""ליה שמטוב""]"
785,4409,מילר,אלכס,מילר,אלכס,False,"[""אלכס מילר""]"
801,4410,שגל,יוסף,שגל,יוסף,False,"[""יוסף שגל""]"
786,4411,מיסז'ניקוב,סטס,מיסז'ניקוב,סטס,False,"[""סטס מיסז'ניקוב""]"
793,4412,אילטוב,רוברט,אילטוב,רוברט,False,"[""רוברט אילטוב"", ""רוברט אלטוב""]"
790,4413,אהרונוביץ',יצחק,אהרונוביץ',יצחק,False,"[""יצחק אהרונוביץ'""]"
783,4414,כהן,יעקב,כהן,יעקב,False,"[""יעקב כהן""]"
778,4415,זכור,עבאס,זכור,עבאס,False,"[""עבאס זכור""]"
780,4416,חנין,דב,חנין,דב,False,"[""דוב חנין"", ""דב חנין""]"
791,4417,אטיאס,אריאל,אטיאס,אריאל,False,"[""אריאל אטיאס""]"
795,4418,אמסלם,חיים,אמסלם,חיים,False,"[""חיים אמסלם""]"
784,4419,מיכאלי,אברהם,מיכאלי,אברהם,False,"[""אברהם מיכאלי""]"
804,4635,חרמש,שי,חרמש,שי,False,"[""שי חרמש""]"
5395,5395,בלשניקוב,אבי,בלשניקוב,אבי,False,"[""אבי בלשניקוב""]"
5895,5895,ורדי,הרצל,ורדי,הרצל,False,"[""הרצל ורדי""]"
5897,5897,לוריא,צבי,לוריא,צבי,False,"[""צבי לוריא""]"
5898,5898,סגל,צבי,סגל,צבי,False,"[""צבי סגל""]"
5899,5899,שטנר,מרדכי,שטנר,מרדכי,False,"[""מרדכי שטנר""]"
5900,5900,שטרנברג,בן-ציון,שטרנברג,בן-ציון,False,"[""בן-ציון שטרנברג""]"
5901,5901,אוסטר,דניאל ,אוסטר,דניאל ,False,"[""דניאל אוסטר""]"
5902,5902,ברלין,אליהו,ברלין,אליהו,False,"[""אליהו ברלין""]"
5903,5903,גולד,זאב,גולד,זאב,False,"[""זאב גולד""]"
707,5904,גרינבוים,יצחק,גרינבוים,יצחק,False,"[""יצחק גרינבוים""]"
5906,5906,דובקין,אליהו,דובקין,אליהו,False,"[""אליהו דובקין""]"
5907,5907,כובאשי,סעדיה,כובאשי,סעדיה,False,"[""סעדיה כובאשי""]"
5908,5908,קצנלסון,אברהם,קצנלסון,אברהם,False,"[""אברהם קצנלסון""]"
5909,5909,פישמן,יהודה לייב הכהן,פישמן,יהודה לייב הכהן,False,"[""יהודה לייב הכהן פישמן""]"
610,5955,קשת,בן-ציון,קשת,בן-ציון,False,"[""בן-ציון קשת""]"
491,5956,לסקוב,ציפורה,לסקוב,ציפורה,False,"[""ציפורה לסקוב""]"
5975,5975,אופיר,אריה,אופיר,אריה,False,"[""אריה אופיר""]"
5976,5976,אירסרזון,זאב,אירסרזון,זאב,False,"[""זאב אירסרזון""]"
5977,5977,בורלא,יהודה,בורלא,יהודה,False,"[""יהודה בורלא""]"
5978,5978,ברלין,מאיר,ברלין,מאיר,False,"[""מאיר ברלין""]"
5979,5979,הגר,מנחם,הגר,מנחם,False,"[""מנחם הגר""]"
5980,5980,הרטמן,מאיר,הרטמן,מאיר,False,"[""מאיר הרטמן""]"
5981,5981,וילקומיץ,אסף,וילקומיץ,אסף,False,"[""אסף וילקומיץ""]"
5982,5982,וינשטיין,ברוך,וינשטיין,ברוך,False,"[""ברוך וינשטיין""]"
5983,5983,טצה,משה,טצה,משה,False,"[""משה טצה""]"
5984,5984,כהן,ישראל,כהן,ישראל,False,"[""ישראל כהן""]"
5985,5985,כצנלסון,רחל,כצנלסון,רחל,False,"[""רחל כצנלסון""]"
5986,5986,לופבן,יצחק,לופבן,יצחק,False,"[""יצחק לופבן""]"
5987,5987,למברגר,שמואל,למברגר,שמואל,False,"[""שמואל למברגר""]"
5988,5988,לנדוי,יעקב,לנדוי,יעקב,False,"[""יעקב לנדוי""]"
5989,5989,משאט,יהודה,משאט,יהודה,False,"[""יהודה משאט""]"
5990,5990,סירקיס,דניאל,סירקיס,דניאל,False,"[""דניאל סירקיס""]"
5991,5991,רובין,יעקב,רובין,יעקב,False,"[""יעקב רובין""]"
5992,5992,שוורץ,קופל,שוורץ,קופל,False,"[""קופל שוורץ""]"
805,6076,רותם,דוד,רותם,דוד,False,"[""דוד רותם""]"
806,6095,פרידמן,דניאל,פרידמן,דניאל,False,"[""דניאל פרידמן""]"
807,6235,נפאע,סעיד,נפאע,סעיד,False,"[""סעיד נפאע""]"
6835,6835,ינון,איל,ינון,איל,False,"[""איל ינון""]"
808,7035,בן ישראל,יצחק,בן ישראל,יצחק,False,"[""יצחק בן ישראל""]"
809,7736,פלסנר,יוחנן,פלסנר,יוחנן,False,"[""יוחנן פלסנר""]"
810,9315,מולה,שלמה,מולה,שלמה,False,"[""שלמה מולה""]"
9615,9615,בר,יחיאל חיליק,בר,יחיאל חיליק,False,"[""יחיאל חיליק בר""]"
811,10355,בהיינה,מזור,בהיינה,מזור,False,"[""מזור בהיינה""]"
812,10555,שנאן,שכיב מוראד,שנאן,שכיב מוראד,False,"[""שכיב מוראד שנאן""]"
813,11235,ליטינצקי,לאון,ליטינצקי,לאון,False,"[""לאון ליטינצקי""]"
11436,11436,סחרוביץ,אלברט,סחרוביץ,אלברט,False,"[""אלברט סחרוביץ""]"
